,Last Date of Month,Returns_JPN,Returns_SWE,Returns_CHE,Returns_GBR,Returns_BEL,Returns_FRA,Returns_DEU,Returns_ITA,Returns_NLD,Portfolio_Returns
40,2015-11-30,-4.362854352416992,-1.752377770805359,-0.02086783704161644,0.5462276984504699,-0.15677733783626557,-0.2068311727514267,-0.2630748755207062,-0.15003755752944947,-0.3010263151397705,-0.7408466133990129
41,2015-12-31,-4.232427390136719,-1.703101731109619,-0.032723448157873154,0.5722709527442932,-0.12038032172870636,-0.18315106092643738,-0.2205885445947647,-0.171691412317276,-0.2633413916702271,-0.7061260386552589
42,2016-01-31,-4.29536219619751,-1.7197297021865845,-0.07625701111606598,0.5393670095275879,-0.09235624112033844,-0.16041808463478088,-0.18056768812084198,-0.1673215690984726,-0.2853434894218445,-0.7153321080409835
43,2016-02-29,-4.022011560516358,-1.6476449342727661,-0.02933214527964592,0.5734265397979736,-0.144255716504097,-0.20023346334838868,-0.20429696530246735,-0.3098963537826538,-0.20416596919441224,-0.6876011742669795
44,2016-03-31,-3.990932404022217,-1.6076639734268188,-0.04248105489722252,0.6107526251602173,-0.16247766455650328,-0.1686760707759857,-0.17544501265525816,-0.2886775358581543,-0.18774137636661528,-0.6681491630442842
45,2016-04-30,-4.1152257705688475,-1.6874395452499389,-0.08398636753559113,0.6161711015090943,-0.09766425131130219,-0.2455225878791809,-0.20472273169326782,-0.10661214528846741,-0.2625802451210022,-0.6875091714598338
46,2016-05-31,-4.056312811279297,-1.6687096698760986,-0.01139486946463585,0.51386640519104,-0.15301092679786682,-0.2537664991168976,-0.21785875375556946,-0.23103440518665314,-0.24628331477928161,-0.7027227605628066
47,2016-06-30,-4.2288551252746585,-1.735770276260376,0.01719595702290535,0.5375518431121826,-0.17791735531902314,-0.2922968059978485,-0.2364687860212326,-0.19779295625305177,-0.2585131615600586,-0.7303185185056846
48,2016-07-31,-4.196285250549316,-1.697808260536194,0.04214335172772408,0.5645680998458862,-0.16508074758529662,-0.3215618049907684,-0.24544324634552,-0.18914616761684416,-0.2521108901309967,-0.7178583240201473
49,2016-08-31,-4.314727372436524,-1.7052981212615967,-0.02172488812804222,0.5616681199943543,-0.11335789651203156,-0.31409064919281005,-0.21802475542354582,-0.10189714521694183,-0.3371262350730896,-0.7293976603611364
50,2016-09-30,-4.173776514587402,-1.6744006729125978,-0.022212979048490525,0.5212257937973023,-0.07939759174251557,-0.2600895641174316,-0.19334419349098206,-0.12951125481987,-0.3225304959144592,-0.7037819414262718
51,2016-10-31,-4.001320319519043,-1.6286768272399903,0.022700428706407545,0.50995347032547,-0.18009262963294984,-0.24172940536499024,-0.20866650029182435,-0.3148464231109619,-0.25500005169868467,-0.6997420286473962
52,2016-11-30,-3.998270333251953,-1.6262371397018434,0.0012690059959888454,0.566691888117981,-0.16683923673439027,-0.23000114631462099,-0.21720121276187898,-0.260607356546402,-0.26386388611602785,-0.6883399352570163
53,2016-12-31,-3.8408394731140136,-1.54331268157959,-0.0464240226984024,0.5613548108886719,-0.10905754701328277,-0.20508723096084594,-0.22081954912376403,-0.13093337551784515,-0.2655221684379578,-0.6445156930618923
54,2017-01-31,-4.038807886657715,-1.6539109046936036,-0.06686977524757386,0.5565383222618103,-0.08744323062419891,-0.22981549608230592,-0.1921665649366379,-0.07473920094490051,-0.3373340498161316,-0.6805054207490285
